Pid,ST,TAT,RWT,IWT
23,3,861,519,528
17,3,900,502,594
22,3,921,502,580
52,6,975,531,742
11,2,1010,499,752
35,4,1015,511,805
61,6,1028,526,823
63,6,1033,529,839
40,4,1038,516,861
27,3,1049,489,876
38,4,1063,494,920
81,9,1068,521,947
98,10,1084,515,953
67,7,1097,517,942
90,9,1118,502,968
107,11,1117,515,967
109,11,1119,499,990
113,11,1129,515,998
116,11,1137,518,977
26,3,1148,506,1007
31,4,1154,515,1024
171,18,1145,519,1007
134,14,1150,514,1000
154,16,1159,509,1012
138,14,1162,515,993
181,20,1156,516,999
169,17,1168,510,1020
170,18,1167,500,1030
191,21,1171,507,1036
238,27,1169,516,1054
251,27,1174,526,1072
236,26,1175,504,1063
189,21,1187,511,1021
233,26,1184,516,1047
227,25,1188,514,1049
216,23,1194,512,1046
213,23,1200,519,1027
239,27,1198,509,1071
263,29,1203,505,1083
243,27,1216,500,1070
256,28,1217,509,1074
271,29,1222,489,1116
285,30,1226,502,1095
41,4,1274,520,1143
316,32,1248,514,1131
310,32,1249,501,1145
15,3,1282,505,1090
283,30,1261,487,1141
328,33,1265,513,1148
334,33,1277,510,1156
317,33,1278,494,1153
339,34,1278,516,1154
373,37,1277,502,1201
43,4,1312,519,1154
353,34,1282,511,1172
361,36,1284,509,1174
375,38,1285,509,1191
337,34,1291,499,1176
297,31,1296,495,1149
405,40,1313,517,1195
404,40,1314,510,1206
417,41,1315,503,1242
395,39,1326,491,1210
383,39,1330,496,1208
372,37,1333,496,1204
414,41,1334,492,1253
392,39,1338,491,1217
422,41,1337,495,1271
415,41,1338,486,1266
461,46,1333,497,1279
409,40,1343,493,1245
464,46,1341,504,1300
418,41,1350,504,1220
463,46,1357,490,1301
444,45,1361,492,1273
456,46,1364,483,1296
478,49,1372,487,1321
64,7,1419,510,1338
462,46,1381,489,1289
78,9,1429,505,1359
467,47,1400,488,1303
69,7,1455,498,1355
85,9,1455,503,1353
104,11,1467,526,1348
77,8,1471,506,1345
165,17,1464,519,1392
147,15,1468,515,1400
96,10,1484,504,1368
1,0,1502,495,1391
127,13,1491,514,1381
172,18,1488,512,1401
155,16,1494,507,1407
87,9,1504,499,1372
141,14,1501,504,1394
140,14,1506,502,1392
208,23,1498,516,1431
163,17,1512,511,1387
177,19,1512,517,1403
253,27,1507,518,1437
202,23,1516,510,1402
3,0,1543,515,1436
237,27,1516,520,1439
261,29,1518,514,1447
247,27,1521,503,1450
221,24,1527,503,1416
226,25,1531,490,1438
229,25,1535,517,1425
21,3,1558,520,1381
257,28,1541,503,1448
264,29,1541,498,1458
210,23,1552,492,1430
45,5,1574,526,1485
234,26,1556,506,1417
298,31,1556,507,1505
36,4,1588,502,1464
300,32,1567,508,1491
360,36,1580,522,1508
377,38,1580,509,1556
338,34,1585,506,1525
8,2,1626,518,1515
341,34,1596,515,1518
370,37,1601,521,1533
13,3,1644,500,1546
57,6,1643,532,1554
59,6,1649,536,1554
388,39,1622,505,1567
401,39,1623,504,1570
358,36,1628,496,1536
451,46,1620,507,1626
442,44,1624,483,1629
432,42,1635,504,1602
424,41,1647,505,1583
408,40,1649,487,1597
428,41,1653,502,1585
53,6,1697,529,1600
42,4,1700,508,1642
47,5,1715,510,1665
111,11,1716,518,1706
91,9,1719,512,1683
100,10,1722,524,1674
123,12,1722,524,1704
156,16,1733,514,1737
132,14,1736,523,1709
158,16,1734,525,1714
148,15,1739,523,1727
497,50,1705,492,1650
25,3,1761,523,1718
157,16,1752,517,1724
19,3,1766,530,1701
18,3,1767,532,1722
199,22,1750,513,1748
174,18,1760,502,1742
121,12,1767,507,1720
151,16,1767,522,1715
178,19,1770,517,1720
195,22,1767,505,1735
160,17,1774,500,1737
188,21,1776,495,1732
211,23,1777,515,1744
193,22,1779,510,1729
220,24,1780,513,1726
218,23,1782,514,1738
260,29,1780,503,1779
200,22,1789,511,1737
235,26,1788,509,1746
274,29,1785,508,1787
255,28,1793,489,1784
265,29,1793,488,1785
266,29,1794,514,1762
206,23,1805,494,1747
9,2,1826,504,1758
6,1,1828,506,1781
305,32,1800,512,1799
252,27,1809,508,1750
280,30,1808,497,1785
318,33,1806,513,1809
313,32,1808,513,1801
309,32,1821,505,1806
350,34,1831,522,1813
314,32,1834,506,1780
29,3,1869,502,1808
311,32,1856,505,1795
381,38,1852,500,1839
348,34,1857,503,1812
312,32,1861,507,1804
37,4,1900,506,1819
39,4,1903,526,1859
394,39,1879,498,1841
72,7,1913,522,1944
48,5,1916,515,1913
447,46,1878,500,1903
400,39,1886,510,1843
437,44,1881,504,1919
391,39,1886,518,1838
445,46,1889,512,1893
421,41,1894,491,1901
411,40,1896,519,1832
440,44,1894,484,1915
470,48,1899,491,1915
54,6,1942,517,1952
65,7,1946,518,1938
493,50,1904,494,1935
494,50,1907,502,1919
448,46,1916,477,1890
7,1,1962,523,1951
93,9,1955,524,1961
79,9,1956,522,1940
102,10,1959,525,1941
492,50,1920,502,1929
86,9,1963,511,1963
120,12,1966,535,1960
5,0,1985,522,1952
115,11,1977,531,1932
119,12,1977,525,1959
112,11,1985,517,1950
124,13,1995,527,1935
144,14,1994,508,1979
10,2,2017,512,2013
137,14,2006,528,1960
184,20,2001,506,1998
219,23,2004,511,2003
201,23,2012,513,1983
24,3,2033,515,1974
131,14,2022,506,1978
245,27,2010,504,2035
209,23,2014,498,1984
117,12,2026,513,1964
194,22,2019,498,1981
186,20,2022,510,1984
240,27,2016,486,2023
250,27,2017,498,1983
272,29,2020,506,2038
288,30,2019,503,2021
254,27,2023,498,2022
49,6,2044,513,2035
259,29,2022,495,2016
270,29,2026,507,2013
287,30,2025,510,2027
262,29,2027,523,2015
16,3,2053,510,1999
302,32,2028,499,2030
345,34,2035,513,2048
322,33,2042,510,2039
50,6,2069,519,2002
289,30,2048,501,2015
244,27,2053,491,1977
324,33,2059,511,2038
333,33,2059,509,2044
355,35,2062,502,2070
368,37,2060,504,2067
386,39,2060,515,2091
425,41,2061,520,2080
384,39,2065,511,2060
371,37,2069,505,2061
402,39,2067,506,2076
378,38,2068,504,2068
390,39,2067,497,2069
286,30,2077,493,2030
426,41,2066,508,2099
379,38,2072,498,2071
423,41,2070,506,2092
436,43,2080,511,2105
454,46,2077,502,2119
427,41,2083,510,2091
416,41,2084,503,2076
352,34,2097,498,2042
458,46,2090,504,2138
406,40,2099,489,2091
477,49,2096,488,2142
488,49,2107,497,2128
480,49,2108,491,2136
487,49,2110,491,2128
474,48,2114,496,2102
12,2,2167,514,2156
94,9,2162,514,2160
71,7,2164,504,2163
55,6,2167,518,2129
106,11,2167,516,2138
68,7,2173,506,2134
97,10,2173,504,2153
166,17,2170,510,2189
34,4,2186,536,2171
142,14,2178,520,2179
114,11,2182,523,2147
173,18,2180,511,2203
180,19,2192,517,2175
162,17,2195,509,2185
