Pid,ST,TAT,RWT,IWT
18,7,169,105,46
5,1,184,97,48
8,2,199,100,55
19,7,199,104,56
14,6,202,97,57
24,10,202,103,68
23,10,207,102,62
6,2,215,110,79
7,2,220,94,68
20,7,216,94,74
31,13,211,97,78
44,17,209,103,76
33,13,214,99,74
47,19,210,110,71
2,0,229,113,85
17,7,223,109,82
28,12,219,109,83
12,5,226,103,87
38,14,224,97,78
16,6,243,112,104
0,0,249,102,95
13,5,245,116,91
39,14,238,113,97
3,1,253,109,87
21,8,247,114,97
27,12,248,109,107
37,14,248,102,106
11,4,258,109,93
29,12,255,97,93
10,3,269,98,95
34,13,262,111,105
46,19,258,112,105
9,3,275,116,115
42,16,263,104,112
1,0,280,110,102
4,1,280,120,113
49,20,262,118,110
26,12,275,110,85
41,15,273,109,93
30,13,276,122,122
35,14,276,106,115
15,6,285,127,112
25,11,282,117,108
22,9,286,115,118
45,18,277,104,98
43,16,283,104,101
48,20,279,105,102
32,13,292,112,100
36,14,292,118,109
40,15,297,122,112
